!SIL 1.0	SIL
<UNK> 1.0	SPN
abdi(3) 1.0	e b i d i a y
abdilah 1.0	a b d i l a h
abdillah 1.0	a b d i l l a h
abdisalaam 1.0	a b d i s a l a a m
abdisalaam(4) 1.0	a b d i s a l a a m u
abdou 1.0	a b d o u
abdoulaye 1.0	a b d o u l a y e
abdu 1.0	a b d u
abdu(3) 1.0	e b i d i y u
abduel 1.0	a b d u e l
abduel(4) 1.0	a b d u e l i
abdul 1.0	a b d u l
abdul(2) 1.0	a b d u l
abdul(4) 1.0	a b d u l i
abdulah 1.0	a b d u l a h
abdulatif 1.0	a b d u l a t i f
abdulatif(4) 1.0	a b d u l a t i f u
abdulaziz 1.0	a b d u l a z i z
abdulaziz(2) 1.0	a b d u l e z i z
abdulaziz(4) 1.0	a b d u l a z i z i
abdulghan 1.0	a b d u l RR a n
abdulghan(4) 1.0	a b d u l RR a n i
abdulhalim 1.0	a b d u l h a l i m
abdulhalim(4) 1.0	a b d u l h a l i m u
abdulhaman 1.0	a b d u l h a m a n
abdulhaman(4) 1.0	a b d u l h a m a n i
abdulkadir 1.0	a b d u l k a d i r
abdulkadir(4) 1.0	a b d u l k a d i r i
abdulkarim 1.0	a b d u l k a r i m
abdulkarim(4) 1.0	a b d u l k a r i m u
abdulla 1.0	a b d u l l a
abdulla(2) 1.0	a b d u l e
abdullah 1.0	a b d u l l a h
abdullah(2) 1.0	a b d e l e
abdullahi 1.0	a b d u l l a h i
abdulle 1.0	a b d u l l e
abdulmutallab 1.0	a b d u l m u t a l l a b
abdulmutallab(4) 1.0	a b d u l m u t a l l a b u
abdulrahaman 1.0	a b d u l r a h a m a n
abdulrahaman(4) 1.0	a b d u l r a h a m a n i
abdulrahim 1.0	a b d u l r a h i m
abdulrahim(4) 1.0	a b d u l r a h i m u
abdulrahman 1.0	a b d u l r a h m a n
abdulrahman(4) 1.0	a b d u l r a h m a n i
abdulrazak 1.0	a b d u l r a z a k
abdulrazak(4) 1.0	a b d u l r a z a k i
abdulwahid 1.0	a b d u l w a h i d
abdulwahid(4) 1.0	a b d u l w a h i d i
abdulwakil 1.0	a b d u l w a k i l
abdulwakil(4) 1.0	a b d u l w a k i l i
abdurahman 1.0	a b d u r a h m a n
abdurahman(4) 1.0	a b d u r a h m a n i
abe 1.0	a b e
abebe 1.0	a b e b e
abeche 1.0	a b e CC e
abed 1.0	a b e d
abed(2) 1.0	e b e d
abed(4) 1.0	a b e d i
abedi 1.0	a b e d i
abedi(2) 1.0	e b e d i
abeid 1.0	a b e i d
abeid(4) 1.0	a b e i d i
abel 1.0	a b e l
abel(2) 1.0	e y b e l
abel(4) 1.0	a b e l i
abeneth 1.0	a b e n e TT
abeneth(4) 1.0	a b e n e TT i
abidal 1.0	a b i d a l
abidal(4) 1.0	a b i d a l i
abidjan 1.0	a b i d j a n
abidjan(2) 1.0	a b i j a n
abidjan(4) 1.0	a b i d j a n i
abihudi 1.0	a b i h u d i
abiri 1.0	a b i r i
abiria 1.0	a b i r i a
abo 1.0	a b o
abobo 1.0	a b o b o
aboma 1.0	a b o m a
abood 1.0	a b o o d
abood(2) 1.0	e b u d
abood(4) 1.0	a b o o d i
abou 1.0	a b o u
abou(2) 1.0	e b u
abouba 1.0	a b o u b a
aboubacar 1.0	a b o u b a k a r
aboubacar(4) 1.0	a b o u b a k a r i
aboubakar 1.0	a b o u b a k a r
aboubakar(4) 1.0	a b o u b a k a r i
aboud 1.0	a b o u d
aboud(2) 1.0	a b u d
aboud(4) 1.0	a b o u d i
about 1.0	a b o u t
about(2) 1.0	e b a w t
about(4) 1.0	a b o u t i
aboutrika 1.0	a b o u t r i k a
abraham 1.0	a b r a h a m
abraham(2) 1.0	e y b r e h a m
abraham(4) 1.0	a b r a h a m u
abrahaman 1.0	a b r a h a m a n
abrahaman(4) 1.0	a b r a h a m a n i
abrahman 1.0	a b r a h m a n
abrahman(4) 1.0	a b r a h m a n i
abramovich 1.0	a b r a m o v i CC
abramovich(4) 1.0	a b r a m o v i CC i
abri 1.0	a b r i
abri(3) 1.0	e b i a r a y
absa 1.0	a b s a
absa(3) 1.0	e b i e s e
absalom 1.0	a b s a l o m
absalom(2) 1.0	a b s e l e m
absalom(4) 1.0	a b s a l o m u
absaloom 1.0	a b s a l o o m
absaloom(4) 1.0	a b s a l o o m u
absolom 1.0	a b s o l o m
absolom(2) 1.0	a b s e l e m
absolom(4) 1.0	a b s o l o m u
abu 1.0	a b u
abubakar 1.0	a b u b a k a r
abubakar(4) 1.0	a b u b a k a r i
abubakari 1.0	a b u b a k a r i
abubakary 1.0	a b u b a k a r y
abuja 1.0	a b u j a
abunu 1.0	a b u n u
abunuwasi 1.0	a b u n u w a s i
abuse 1.0	a b u s e
abuse(2) 1.0	e b y u s
abushiri 1.0	a b u SS i r i
abuu 1.0	a b u u
abuubakar 1.0	a b u u b a k a r
abuubakar(4) 1.0	a b u u b a k a r i
abwao 1.0	a b w a o
abyei 1.0	a b y e i
ac 1.0	a k
ac(2) 1.0	e y s i
ac(4) 1.0	a k i
academia 1.0	a k a d e m i a
academia(2) 1.0	a k e d i m i e
academic 1.0	a k a d e m i k
academic(2) 1.0	a k e d e m i k
academic(4) 1.0	a k a d e m i k i
academy 1.0	a k a d e m y
academy(2) 1.0	e k a d e m i
acc 1.0	a k k
acc(3) 1.0	e s i s i
acc(4) 1.0	a k k i
access 1.0	a k k e s s
access(2) 1.0	a k s e s
access(4) 1.0	a k k e s s i
account 1.0	a k k o u n t
account(2) 1.0	e k a w n t
account(4) 1.0	a k k o u n t i
accountability 1.0	a k k o u n t a b i l i t y
accountability(2) 1.0	e k a w n t e b i l i t i
accra 1.0	a k k r a
acde 1.0	a k d e
acde(3) 1.0	e s i d i i
ace 1.0	a k e
ace(2) 1.0	e y s
aceh 1.0	a k e h
acha 1.0	a CC a
achague 1.0	a CC a g u e
achaguliwe 1.0	a CC a g u l i w e
achana 1.0	a CC a n a
achaneni 1.0	a CC a n e n i
achanganyikiwe 1.0	a CC a GG a n y i k i w e
achangie 1.0	a CC a GG i e
achelewe 1.0	a CC e l e w e
acheni 1.0	a CC e n i
acheze 1.0	a CC e z e
achezee 1.0	a CC e z e e
achia 1.0	a CC i a
achilia 1.0	a CC i l i a
achmat 1.0	a CC m a t
achmat(4) 1.0	a CC m a t i
acholi 1.0	a CC o l i
achukue 1.0	a CC u k u e
achukuliwe 1.0	a CC u k u l i w e
achunguze 1.0	a CC u GG u z e
achunguzwe 1.0	a CC u GG u z w e
acid 1.0	a k i d
acid(2) 1.0	a s e d
acid(4) 1.0	a k i d i
acp 1.0	a k p
acp(3) 1.0	e s i p i
acp(4) 1.0	a k p u
acres 1.0	a k r e s
acres(2) 1.0	e y k e r z
acres(4) 1.0	a k r e s i
act 1.0	a k t
act(2) 1.0	a k t
act(3) 1.0	e s i t i
act(4) 1.0	a k t i
acta 1.0	a k t a
acta(3) 1.0	e s i t i e
action 1.0	a k t i o n
action(2) 1.0	a k SS e n
action(4) 1.0	a k t i o n i
actionaid 1.0	a k t i o n a i d
actionaid(4) 1.0	a k t i o n a i d i
active 1.0	a k t i v e
active(2) 1.0	a k t i v
acts 1.0	a k t s
acts(2) 1.0	a k t s
acts(3) 1.0	e s i t i e s
acts(4) 1.0	a k t s i
ad 1.0	a d
ad(2) 1.0	a d
ad(4) 1.0	a d i
ada 1.0	a d a
adabu 1.0	a d a b u
adadi 1.0	a d a d i
adai 1.0	a d a i
adaiwa 1.0	a d a i w a
adam 1.0	a d a m
adam(2) 1.0	a d e m
adam(4) 1.0	a d a m u
adamjee 1.0	a d a m j e e
adamou 1.0	a d a m o u
adams 1.0	a d a m s
adams(2) 1.0	a d e m z
adams(4) 1.0	a d a m s i
adamu 1.0	a d a m u
adan 1.0	a d a n
adan(2) 1.0	e y d e n
adan(4) 1.0	a d a n i
adar 1.0	a d a r
adar(2) 1.0	e d a r
adar(4) 1.0	a d a r i
adawi 1.0	a d a w i
adb 1.0	a d b
adb(3) 1.0	e d i b i
adb(4) 1.0	a d b u
addis 1.0	a d d i s
addis(2) 1.0	a d i s
addis(4) 1.0	a d d i s i
addison 1.0	a d d i s o n
addison(2) 1.0	a d e s e n
addison(4) 1.0	a d d i s o n i
addo 1.0	a d d o
addo(3) 1.0	e d i d i o
addy 1.0	a d d y
addy(2) 1.0	a d i
addy(3) 1.0	e d i d i w a y
adebayo 1.0	a d e b a y o
adebayor 1.0	a d e b a y o r
adebayor(4) 1.0	a d e b a y o r i
adel 1.0	a d e l
adel(2) 1.0	e d e l
adel(4) 1.0	a d e l i
adela 1.0	a d e l a
adela(2) 1.0	e d e l e
adelaida 1.0	a d e l a i d a
adelf 1.0	a d e l f
adelf(4) 1.0	a d e l f u
adelgunda 1.0	a d e l g u DD a
adelhelm 1.0	a d e l h e l m
adelhelm(4) 1.0	a d e l h e l m u
adelina 1.0	a d e l i n a
adella 1.0	a d e l l a
adema 1.0	a d e m a
aden 1.0	a d e n
aden(2) 1.0	e y d e n
aden(4) 1.0	a d e n i
adha 1.0	a LL a
adhabu 1.0	a LL a b u
adhaminiwe 1.0	a LL a m i n i w e
adhia 1.0	a LL i a
adhima 1.0	a LL i m a
adhimu 1.0	a LL i m u
adhma 1.0	a LL m a
adhuhuri 1.0	a LL u h u r i
adidas 1.0	a d i d a s
adidas(2) 1.0	e d i d e s
adidas(4) 1.0	a d i d a s i
adil 1.0	a d i l
adil(4) 1.0	a d i l i
adila 1.0	a d i l a
adili 1.0	a d i l i
adilifu 1.0	a d i l i f u
adimu 1.0	a d i m u
adinani 1.0	a d i n a n i
adis 1.0	a d i s
adis(4) 1.0	a d i s i
adiyiah 1.0	a d i y i a h
adjamagbo 1.0	a d j a m a g b o
adjustment 1.0	a d j u s t m e n t
adjustment(2) 1.0	e j e s t m e n t
adjustment(4) 1.0	a d j u s t m e n t i
adm 1.0	a d m
adm(3) 1.0	e d i e m
adm(4) 1.0	a d m u
admin 1.0	a d m i n
admin(4) 1.0	a d m i n i
ado 1.0	a d o
adolf 1.0	a d o l f
adolf(2) 1.0	e y d a l f
adolf(4) 1.0	a d o l f u
adolph 1.0	a d o l f
adolph(2) 1.0	e y d o l f
adolph(4) 1.0	a d o l f u
adrian 1.0	a d r i a n
adrian(2) 1.0	e y d r i e n
adrian(4) 1.0	a d r i a n i
adriano 1.0	a d r i a n o
adriano(2) 1.0	a d r i a n o
adson 1.0	a d s o n
adson(4) 1.0	a d s o n i
adu 1.0	a d u
adua 1.0	a d u a
adui 1.0	a d u i
advantage 1.0	a d v a n t a g e
advantage(2) 1.0	a d v a n t i j
advocate 1.0	a d v o k a t e
advocate(2) 1.0	a d v e k e t
advocates 1.0	a d v o k a t e s
advocates(2) 1.0	a d v e k e t s
advocates(4) 1.0	a d v o k a t e s i
ae 1.0	a e
ae(2) 1.0	e y
aec 1.0	a e k
aec(4) 1.0	a e k i
aeg 1.0	a e g
aeg(4) 1.0	a e g i
aelewe 1.0	a e l e w e
aeleza 1.0	a e l e z a
aeleze 1.0	a e l e z e
aendako 1.0	a e DD a k o
aendapo 1.0	a e DD a p o
aende 1.0	a e DD e
aendelee 1.0	a e DD e l e e
aendeleze 1.0	a e DD e l e z e
aendeshe 1.0	a e DD e SS e
aenende 1.0	a e n e DD e
aenguliwe 1.0	a e GG u l i w e
aepuke 1.0	a e p u k e
afa 1.0	a f a
afadhali 1.0	a f a LL a l i
afafanue 1.0	a f a f a n u e
afahamu 1.0	a f a h a m u
afaidike 1.0	a f a i d i k e
afanane 1.0	a f a n a n e
afande 1.0	a f a DD e
afanikishe 1.0	a f a n i k i SS e
afanikiwe 1.0	a f a n i k i w e
afanya 1.0	a f a n y a
afanyavyo 1.0	a f a n y a v y o
afanye 1.0	a f a n y e
afanyeje 1.0	a f a n y e j e
afanyiwe 1.0	a f a n y i w e
afariki 1.0	a f a r i k i
afc 1.0	a f k
afc(3) 1.0	e e f s i
afc(4) 1.0	a f k i
afcon 1.0	a f k o n
afcon(4) 1.0	a f k o n i
afdb 1.0	a f d b
afdb(3) 1.0	e e f d i b i
afdb(4) 1.0	a f d b u
afe 1.0	a f e
afewerki 1.0	a f e w e r k i
affa 1.0	a f f a
affa(3) 1.0	e e f e f e
affairs 1.0	a f f a i r s
affairs(2) 1.0	e f e r z
affairs(4) 1.0	a f f a i r s i
afgem 1.0	a f g e m
afgem(4) 1.0	a f g e m u
afghanistan 1.0	a f RR a n i s t a n
afghanistan(2) 1.0	a f g a n e s t a n
afghanistan(4) 1.0	a f RR a n i s t a n i
afghanistani 1.0	a f RR a n i s t a n i
afika 1.0	a f i k a
afike 1.0	a f i k e
afikie 1.0	a f i k i e
afikirie 1.0	a f i k i r i e
afikishe 1.0	a f i k i SS e
afikishwe 1.0	a f i k i SS w e
afirika 1.0	a f i r i k a
afisa 1.0	a f i s a
afisi 1.0	a f i s i
afp 1.0	a f p
afp(3) 1.0	e e f p i
afp(4) 1.0	a f p u
afri 1.0	a f r i
afri(3) 1.0	e e f a r a y
africa 1.0	a f r i k a
africa(2) 1.0	a f r e k e
african 1.0	a f r i k a n
african(2) 1.0	a f r e k e n
african(4) 1.0	a f r i k a n i
africana 1.0	a f r i k a n a
africans 1.0	a f r i k a n s
africans(2) 1.0	a f r e k e n z
africans(4) 1.0	a f r i k a n s i
africare 1.0	a f r i k a r e
africom 1.0	a f r i k o m
africom(4) 1.0	a f r i k o m u
africommerce 1.0	a f r i k o m e r k e
afrika 1.0	a f r i k a
afrikan 1.0	a f r i k a n
afrikan(4) 1.0	a f r i k a n i
afrique 1.0	a f r i k e
afro 1.0	a f r o
afro(2) 1.0	a f r o
afro(3) 1.0	e e f a r o
after 1.0	a f t e r
after(2) 1.0	a f t e r
after(4) 1.0	a f t e r i
afuate 1.0	a f u a t e
afuatilie 1.0	a f u a t i l i e
afueni 1.0	a f u e n i
afukuzwe 1.0	a f u k u z w e
afumwisye 1.0	a f u m w i s y e
afundishwe 1.0	a f u DD i SS w e
afunge 1.0	a f u GG e
afungiwe 1.0	a f u GG i w e
afungue 1.0	a f u GG u e
afunguliwe 1.0	a f u GG u l i w e
afungwe 1.0	a f u GG w e
afurahi 1.0	a f u r a h i
afurahie 1.0	a f u r a h i e
afute 1.0	a f u t e
afutiwe 1.0	a f u t i w e
afya 1.0	a f y a
afya(3) 1.0	e e f w a y e
ag 1.0	a g
ag(2) 1.0	a g
ag(4) 1.0	a g i
aga 1.0	a g a
against 1.0	a g a i n s t
against(2) 1.0	e g e n s t
against(4) 1.0	a g a i n s t i
agakhan 1.0	a g a XX a n
agakhan(4) 1.0	a g a XX a n i
agano 1.0	a g a n o
agapa 1.0	a g a p a
agape 1.0	a g a p e
agape(2) 1.0	e g e y p
agatha 1.0	a g a TT a
agatha(2) 1.0	a g e TT e
agathon 1.0	a g a TT o n
agathon(4) 1.0	a g a TT o n i
age 1.0	a g e
agency 1.0	a g e n k y
agency(2) 1.0	e y j e n s i
agenda 1.0	a g e DD a
agenda(2) 1.0	e j e n d e
agent 1.0	a g e n t
agent(2) 1.0	e y j e n t
agent(4) 1.0	a g e n t i
ageuke 1.0	a g e u k e
agger 1.0	a g g e r
agger(4) 1.0	a g g e r i
aggreko 1.0	a g g r e k o
aggrey 1.0	a g g r e y
aggrey(2) 1.0	a g r e y
agha 1.0	a RR a
aghalab 1.0	a RR a l a b
aghalab(4) 1.0	a RR a l a b u
aghalabu 1.0	a RR a l a b u
aghali 1.0	a RR a l i
aghlabu 1.0	a RR l a b u
agip 1.0	a g i p
agip(2) 1.0	e y g i p
agip(4) 1.0	a g i p u
agizo 1.0	a g i z o
agnes 1.0	a g n e s
agnes(2) 1.0	a g n i s
agnes(4) 1.0	a g n e s i
agness 1.0	a g n e s s
agness(4) 1.0	a g n e s s i
agoa 1.0	a g o a
agogo 1.0	a g o g o
agombee 1.0	a g o BB e e
agost 1.0	a g o s t
agost(4) 1.0	a g o s t i
agosti 1.0	a g o s t i
agostino 1.0	a g o s t i n o
agostino(2) 1.0	a g o s t i n o
agosto 1.0	a g o s t o
agosto(2) 1.0	a g o s t o
agra 1.0	a g r a
agra(2) 1.0	a g r e
agra(3) 1.0	e j i a r e
agreement 1.0	a g r e e m e n t
agreement(2) 1.0	e g r i m e n t
agreement(4) 1.0	a g r e e m e n t i
agreta 1.0	a g r e t a
agrey 1.0	a g r e y
agricultural 1.0	a g r i k u l t u r a l
agricultural(2) 1.0	a g r e k e l CC e r e l
agricultural(4) 1.0	a g r i k u l t u r a l i
agriculture 1.0	a g r i k u l t u r e
agriculture(2) 1.0	a g r i k e l CC e r
agripina 1.0	a g r i p i n a
agrrey 1.0	a g r r e y
aguero 1.0	a g u e r o
aguero(2) 1.0	a g e r o
agusti 1.0	a g u s t i
agustine 1.0	a g u s t i n e
agustino 1.0	a g u s t i n o
ah 1.0	a h
ah(2) 1.0	a
aha 1.0	a h a
ahaa 1.0	a h a a
ahadi 1.0	a h a d i
ahakikishe 1.0	a h a k i k i SS e
ahamad 1.0	a h a m a d
ahamad(4) 1.0	a h a m a d i
ahame 1.0	a h a m e
ahamed 1.0	a h a m e d
ahamed(4) 1.0	a h a m e d i
ahamie 1.0	a h a m i e
ahamishwe 1.0	a h a m i SS w e
ahera 1.0	a h e r a
aheri 1.0	a h e r i
aheshimu 1.0	a h e SS i m u
ahh 1.0	a h h
ahh(2) 1.0	a
ahh(3) 1.0	e e j e j
ahidi 1.0	a h i d i
ahirisho 1.0	a h i r i SS o
ahisi 1.0	a h i s i
ahitaji 1.0	a h i t a j i
ahlan 1.0	a h l a n
ahlan(4) 1.0	a h l a n i
ahli 1.0	a h l i
ahli(3) 1.0	e e j e l a y
ahly 1.0	a h l y
ahly(3) 1.0	e e j e l w a y
ahmad 1.0	a h m a d
ahmad(2) 1.0	a m a d
ahmad(4) 1.0	a h m a d i
ahmada 1.0	a h m a d a
ahmadi 1.0	a h m a d i
ahmadi(2) 1.0	a m a d i
ahmadinejad 1.0	a h m a d i n e j a d
ahmadinejad(4) 1.0	a h m a d i n e j a d i
ahmed 1.0	a h m e d
ahmed(2) 1.0	a m e d
ahmed(4) 1.0	a h m e d i
ahmedi 1.0	a h m e d i
ahojiwe 1.0	a h o j i w e
ahram 1.0	a h r a m
ahram(4) 1.0	a h r a m u
ahsante 1.0	a h s a n t e
ahsanteni 1.0	a h s a n t e n i
ahudhurie 1.0	a h u LL u r i e
ahueni 1.0	a h u e n i
ahukumiwe 1.0	a h u k u m i w e
ai 1.0	a i
ai(2) 1.0	a y
aiba 1.0	a i b a
aibu 1.0	a i b u
aibuka 1.0	a i b u k a
aibuke 1.0	a i b u k e
aic 1.0	a i k
aic(4) 1.0	a i k i
aicc 1.0	a i k k
aicc(3) 1.0	e a y s i s i
aicc(4) 1.0	a i k k i
aict 1.0	a i k t
aict(3) 1.0	e a y s i t i
aict(4) 1.0	a i k t i
aid 1.0	a i d
aid(2) 1.0	e y d
aid(4) 1.0	a i d i
aida 1.0	a i d a
aida(2) 1.0	a y i d e
aidan 1.0	a i d a n
aidan(2) 1.0	e y d a n
aidan(4) 1.0	a i d a n i
aideed 1.0	a i d e e d
aideed(4) 1.0	a i d e e d i
aidha 1.0	a i LL a
aids 1.0	a i d s
aids(2) 1.0	e y d z
aids(3) 1.0	e a y d i e s
aids(4) 1.0	a i d s i
aieleze 1.0	a i e l e z e
aifanye 1.0	a i f a n y e
aifungie 1.0	a i f u GG i e
aifute 1.0	a i f u t e
aika 1.0	a i k a
aiko 1.0	a i k o
ailaze 1.0	a i l a z e
aileen 1.0	a i l e e n
aileen(2) 1.0	a y l i n
aileen(4) 1.0	a i l e e n i
ailinda 1.0	a i l i DD a
aimbe 1.0	a i BB e
aime 1.0	a i m e
aime(2) 1.0	e y m
ain 1.0	a i n
ain(4) 1.0	a i n i
aina 1.0	a i n a
ainea 1.0	a i n e a
aingie 1.0	a i GG i e
aingilie 1.0	a i GG i l i e
aipatie 1.0	a i p a t i e
air 1.0	a i r
air(2) 1.0	e r
air(4) 1.0	a i r i
airbus 1.0	a i r b u s
airbus(2) 1.0	e r b e s
airbus(4) 1.0	a i r b u s i
aires 1.0	a i r e s
aires(2) 1.0	e r i z
aires(4) 1.0	a i r e s i
airlines 1.0	a i r l i n e s
airlines(2) 1.0	e r l a y n z
airlines(4) 1.0	a i r l i n e s i
airo 1.0	a i r o
airport 1.0	a i r p o r t
airport(2) 1.0	e r p o r t
airport(4) 1.0	a i r p o r t i
airways 1.0	a i r w a y s
airways(2) 1.0	e r w e y z
airways(4) 1.0	a i r w a y s i
aisaidie 1.0	a i s a i d i e
aisee 1.0	a i s e e
aisema 1.0	a i s e m a
aisha 1.0	a i SS a
aishi 1.0	a i SS i
aishie 1.0	a i SS i e
aishiye 1.0	a i SS i y e
aitishe 1.0	a i t i SS e
aitumie 1.0	a i t u m i e
aitwae 1.0	a i t w a e
aitwaye 1.0	a i t w a y e
aitwe 1.0	a i t w e
aiweke 1.0	a i w e k e
aj 1.0	a j
aj(4) 1.0	a j i
aja 1.0	a j a
ajabu 1.0	a j a b u
ajali 1.0	a j a l i
ajalini 1.0	a j a l i n i
ajari 1.0	a j a r i
ajaribu 1.0	a j a r i b u
ajax 1.0	a j a k s
ajax(2) 1.0	e y j a k s
ajax(4) 1.0	a j a k s i
ajay 1.0	a j a y
ajay(2) 1.0	e j e y
ajaye 1.0	a j a y e
aje 1.0	a j e
ajenda 1.0	a j e DD a
ajenge 1.0	a j e GG e
ajiamini 1.0	a j i a m i n i
ajiandae 1.0	a j i a DD a e
ajibu 1.0	a j i b u
ajieleze 1.0	a j i e l e z e
ajifunze 1.0	a j i f u ZZ e
ajii 1.0	a j i i
ajikite 1.0	a j i k i t e
ajikute 1.0	a j i k u t e
ajili 1.0	a j i l i
ajiondoe 1.0	a j i o DD o e
ajione 1.0	a j i o n e
ajipange 1.0	a j i p a GG e
ajipatie 1.0	a j i p a t i e
ajira 1.0	a j i r a
ajirekebishe 1.0	a j i r e k e b i SS e
ajiri 1.0	a j i r i
ajiridhishe 1.0	a j i r i LL i SS e
ajisalimishe 1.0	a j i s a l i m i SS e
ajisikie 1.0	a j i s i k i e
ajitahidi 1.0	a j i t a h i d i
ajitambue 1.0	a j i t a BB u e
ajitetee 1.0	a j i t e t e e
ajitoe 1.0	a j i t o e
ajitokeze 1.0	a j i t o k e z e
ajitose 1.0	a j i t o s e
ajitume 1.0	a j i t u m e
ajiulize 1.0	a j i u l i z e
ajiunge 1.0	a j i u GG e
ajiuzulu 1.0	a j i u z u l u
ajiweke 1.0	a j i w e k e
ajizi 1.0	a j i z i
ajli 1.0	a j l i
ajli(3) 1.0	e j e e l a y
ajuaye 1.0	a j u a y e
ajue 1.0	a j u e
ajulikanaye 1.0	a j u l i k a n a y e
ajulikane 1.0	a j u l i k a n e
ajuza 1.0	a j u z a
ak 1.0	a k
ak(4) 1.0	a k i
aka 1.0	a k a
akaacha 1.0	a k a a CC a
akaachana 1.0	a k a a CC a n a
akaachia 1.0	a k a a CC i a
akaachiwa 1.0	a k a a CC i w a
akaachwa 1.0	a k a a CC w a
akaaga 1.0	a k a a g a
akaagiza 1.0	a k a a g i z a
akaahidi 1.0	a k a a h i d i
akaambiwa 1.0	a k a a BB i w a
akaambulia 1.0	a k a a BB u l i a
akaamka 1.0	a k a a m k a
akaamua 1.0	a k a a m u a
akaamuru 1.0	a k a a m u r u
akaandika 1.0	a k a a DD i k a
akaangalia 1.0	a k a a GG a l i a
akaanguka 1.0	a k a a GG u k a
akaanza 1.0	a k a a ZZ a
akaanzisha 1.0	a k a a ZZ i SS a
akabadili 1.0	a k a b a d i l i
akabadilika 1.0	a k a b a d i l i k a
akabaini 1.0	a k a b a i n i
akabainisha 1.0	a k a b a i n i SS a
akabaki 1.0	a k a b a k i
akabakia 1.0	a k a b a k i a
akabidhi 1.0	a k a b i LL i
akabidhiwe 1.0	a k a b i LL i w e
akachagua 1.0	a k a CC a g u a
akachaguliwa 1.0	a k a CC a g u l i w a
akacheka 1.0	a k a CC e k a
akacheza 1.0	a k a CC e z a
akachomoa 1.0	a k a CC o m o a
akachukia 1.0	a k a CC u k i a
akachukua 1.0	a k a CC u k u a
akachukuliwa 1.0	a k a CC u k u l i w a
akadai 1.0	a k a d a i
akadaka 1.0	a k a d a k a
akadakia 1.0	a k a d a k i a
akadhani 1.0	a k a LL a n i
akadokeza 1.0	a k a d o k e z a
akae 1.0	a k a e
akaelekea 1.0	a k a e l e k e a
akaelewa 1.0	a k a e l e w a
akaeleza 1.0	a k a e l e z a
akaelezea 1.0	a k a e l e z e a
akaelezwa 1.0	a k a e l e z w a
akaenda 1.0	a k a e DD a
